t,housing_density,year,month,NA_L3NAME
1990.1,181.4481473657027,1990,1,Acadian Plains and Hills
1990.1809090909092,181.43070972925508,1990,2,Acadian Plains and Hills
1990.2618181818182,181.4132720928075,1990,3,Acadian Plains and Hills
1990.3427272727272,181.3958344563599,1990,4,Acadian Plains and Hills
1990.4236363636364,181.37839681991224,1990,5,Acadian Plains and Hills
1990.5045454545455,181.36095918346467,1990,6,Acadian Plains and Hills
1990.5854545454545,181.34352154701708,1990,7,Acadian Plains and Hills
1990.6663636363637,181.32608391056942,1990,8,Acadian Plains and Hills
1990.7472727272727,181.30864627412183,1990,9,Acadian Plains and Hills
1990.8281818181817,181.29120863767423,1990,10,Acadian Plains and Hills
1990.909090909091,181.2737710012266,1990,11,Acadian Plains and Hills
1990.99,181.256333364779,1990,12,Acadian Plains and Hills
1991.1,181.23262601635025,1991,1,Acadian Plains and Hills
1991.1809090909092,181.21518837990263,1991,2,Acadian Plains and Hills
1991.2618181818182,181.19775074345503,1991,3,Acadian Plains and Hills
1991.3427272727272,181.18031310700744,1991,4,Acadian Plains and Hills
1991.4236363636364,181.1628754705598,1991,5,Acadian Plains and Hills
1991.5045454545455,181.14543783411222,1991,6,Acadian Plains and Hills
1991.5854545454545,181.12800019766462,1991,7,Acadian Plains and Hills
1991.6663636363637,181.11056256121697,1991,8,Acadian Plains and Hills
1991.7472727272727,181.09312492476937,1991,9,Acadian Plains and Hills
1991.8281818181817,181.0756872883218,1991,10,Acadian Plains and Hills
1991.909090909091,181.05824965187415,1991,11,Acadian Plains and Hills
1991.99,181.04081201542655,1991,12,Acadian Plains and Hills
1992.1,181.0171046669978,1992,1,Acadian Plains and Hills
1992.1809090909092,180.99966703055017,1992,2,Acadian Plains and Hills
1992.2618181818182,180.98222939410257,1992,3,Acadian Plains and Hills
1992.3427272727272,180.96479175765498,1992,4,Acadian Plains and Hills
1992.4236363636364,180.94735412120735,1992,5,Acadian Plains and Hills
1992.5045454545455,180.92991648475976,1992,6,Acadian Plains and Hills
1992.5854545454545,180.91247884831216,1992,7,Acadian Plains and Hills
1992.6663636363637,180.8950412118645,1992,8,Acadian Plains and Hills
1992.7472727272727,180.87760357541694,1992,9,Acadian Plains and Hills
1992.8281818181817,180.86016593896935,1992,10,Acadian Plains and Hills
1992.909090909091,180.8427283025217,1992,11,Acadian Plains and Hills
1992.99,180.8252906660741,1992,12,Acadian Plains and Hills
1993.1,180.80158331764537,1993,1,Acadian Plains and Hills
1993.1809090909092,180.7841456811977,1993,2,Acadian Plains and Hills
1993.2618181818182,180.76670804475012,1993,3,Acadian Plains and Hills
1993.3427272727272,180.74927040830252,1993,4,Acadian Plains and Hills
1993.4236363636364,180.7318327718549,1993,5,Acadian Plains and Hills
1993.5045454545455,180.7143951354073,1993,6,Acadian Plains and Hills
1993.5854545454545,180.6969574989597,1993,7,Acadian Plains and Hills
1993.6663636363637,180.67951986251205,1993,8,Acadian Plains and Hills
1993.7472727272727,180.66208222606448,1993,9,Acadian Plains and Hills
1993.8281818181817,180.6446445896169,1993,10,Acadian Plains and Hills
1993.909090909091,180.62720695316924,1993,11,Acadian Plains and Hills
1993.99,180.60976931672164,1993,12,Acadian Plains and Hills
1994.1,180.5860619682929,1994,1,Acadian Plains and Hills
1994.1809090909092,180.56862433184526,1994,2,Acadian Plains and Hills
1994.2618181818182,180.55118669539766,1994,3,Acadian Plains and Hills
1994.3427272727272,180.53374905895006,1994,4,Acadian Plains and Hills
1994.4236363636364,180.51631142250244,1994,5,Acadian Plains and Hills
1994.5045454545455,180.49887378605484,1994,6,Acadian Plains and Hills
1994.5854545454545,180.48143614960725,1994,7,Acadian Plains and Hills
1994.6663636363637,180.46399851315962,1994,8,Acadian Plains and Hills
1994.7472727272727,180.44656087671203,1994,9,Acadian Plains and Hills
1994.8281818181817,180.42912324026443,1994,10,Acadian Plains and Hills
1994.909090909091,180.41168560381678,1994,11,Acadian Plains and Hills
1994.99,180.39424796736918,1994,12,Acadian Plains and Hills
1995.1,180.37054061894045,1995,1,Acadian Plains and Hills
1995.1809090909092,180.3531029824928,1995,2,Acadian Plains and Hills
1995.2618181818182,180.3356653460452,1995,3,Acadian Plains and Hills
1995.3427272727272,180.31822770959764,1995,4,Acadian Plains and Hills
1995.4236363636364,180.30079007314998,1995,5,Acadian Plains and Hills
1995.5045454545455,180.2833524367024,1995,6,Acadian Plains and Hills
1995.5854545454545,180.2659148002548,1995,7,Acadian Plains and Hills
1995.6663636363637,180.24847716380717,1995,8,Acadian Plains and Hills
1995.7472727272727,180.23103952735957,1995,9,Acadian Plains and Hills
1995.8281818181817,180.21360189091197,1995,10,Acadian Plains and Hills
1995.909090909091,180.19616425446432,1995,11,Acadian Plains and Hills
1995.99,180.17872661801675,1995,12,Acadian Plains and Hills
1996.1,180.155019269588,1996,1,Acadian Plains and Hills
1996.1809090909092,180.13758163314034,1996,2,Acadian Plains and Hills
1996.2618181818182,180.12014399669275,1996,3,Acadian Plains and Hills
1996.3427272727272,180.10270636024518,1996,4,Acadian Plains and Hills
1996.4236363636364,180.08526872379753,1996,5,Acadian Plains and Hills
1996.5045454545455,180.06783108734993,1996,6,Acadian Plains and Hills
1996.5854545454545,180.05039345090233,1996,7,Acadian Plains and Hills
1996.6663636363637,180.0329558144547,1996,8,Acadian Plains and Hills
1996.7472727272727,180.0155181780071,1996,9,Acadian Plains and Hills
1996.8281818181817,179.99808054155952,1996,10,Acadian Plains and Hills
1996.909090909091,179.9806429051119,1996,11,Acadian Plains and Hills
1996.99,179.9632052686643,1996,12,Acadian Plains and Hills
1997.1,179.93949792023554,1997,1,Acadian Plains and Hills
1997.1809090909092,179.92206028378789,1997,2,Acadian Plains and Hills
