NA_L3NAME,variable,year,month,value
Acadian Plains and Hills,erc,1983,Jan,20.71345940982963
Arizona/New Mexico Mountains,erc,1983,Jan,31.723704468009185
Arizona/New Mexico Plateau,erc,1983,Jan,27.28965237932365
Arkansas Valley,erc,1983,Jan,21.685013001435507
Aspen Parkland/Northern Glaciated Plains,erc,1983,Jan,16.419347753938965
Atlantic Coastal Pine Barrens,erc,1983,Jan,20.9001520598521
Blue Mountains,erc,1983,Jan,11.969937406889509
Blue Ridge,erc,1983,Jan,19.137027757869674
Boston Mountains,erc,1983,Jan,22.707843217036338
"California Coastal Sage, Chaparral, and Oak Woodlands",erc,1983,Jan,22.575774974645118
Canadian Rockies,erc,1983,Jan,5.922107967050054
Cascades,erc,1983,Jan,4.429845883802929
Central Appalachians,erc,1983,Jan,18.438510267181147
Central Basin and Range,erc,1983,Jan,22.915006716760214
Central California Valley,erc,1983,Jan,13.173535137974744
Central Corn Belt Plains,erc,1983,Jan,19.122307822190596
Central Great Plains,erc,1983,Jan,21.10255694645961
Central Irregular Plains,erc,1983,Jan,19.6105590022121
Chihuahuan Deserts,erc,1983,Jan,32.922641741611834
Coast Range,erc,1983,Jan,1.8845223140326584
Colorado Plateaus,erc,1983,Jan,27.793711464619665
Columbia Mountains/Northern Rockies,erc,1983,Jan,6.167654505805288
Columbia Plateau,erc,1983,Jan,10.203817527827274
Cross Timbers,erc,1983,Jan,23.54111970305709
Driftless Area,erc,1983,Jan,16.520095197020986
East Central Texas Plains,erc,1983,Jan,23.03949619588585
Eastern Cascades Slopes and Foothills,erc,1983,Jan,9.200085635382166
Eastern Corn Belt Plains,erc,1983,Jan,18.808254561035294
Eastern Great Lakes Lowlands,erc,1983,Jan,18.663531161446606
Edwards Plateau,erc,1983,Jan,27.22431384111724
Erie Drift Plain,erc,1983,Jan,18.259058367178895
Flint Hills,erc,1983,Jan,19.469497418016537
High Plains,erc,1983,Jan,26.94118238309425
Huron/Erie Lake Plains,erc,1983,Jan,18.830685300969368
Idaho Batholith,erc,1983,Jan,7.340824088986458
Interior Plateau,erc,1983,Jan,16.857405211785807
Interior River Valleys and Hills,erc,1983,Jan,18.905646284476397
Klamath Mountains,erc,1983,Jan,9.573196861936443
Lake Manitoba and Lake Agassiz Plain,erc,1983,Jan,19.35887616849774
Madrean Archipelago,erc,1983,Jan,36.96732721337493
Middle Atlantic Coastal Plain,erc,1983,Jan,19.730449189658493
Middle Rockies,erc,1983,Jan,18.70513571652495
Mississippi Alluvial Plain,erc,1983,Jan,15.636148014635433
Mississippi Valley Loess Plains,erc,1983,Jan,13.402441344535857
Mojave Basin and Range,erc,1983,Jan,49.53171843602067
Nebraska Sand Hills,erc,1983,Jan,22.71792969009201
North Cascades,erc,1983,Jan,2.0267705480126956
North Central Appalachians,erc,1983,Jan,18.62013015597339
North Central Hardwood Forests,erc,1983,Jan,14.132607970096675
Northeastern Coastal Zone,erc,1983,Jan,22.010547060442633
Northern Allegheny Plateau,erc,1983,Jan,19.20792449213264
Northern Appalachian and Atlantic Maritime Highlands,erc,1983,Jan,19.826765530197267
Northern Basin and Range,erc,1983,Jan,16.32393158544034
Northern Lakes and Forests,erc,1983,Jan,13.317170027737298
Northern Minnesota Wetlands,erc,1983,Jan,19.093931465148927
Northern Piedmont,erc,1983,Jan,24.66516197652437
Northwestern Glaciated Plains,erc,1983,Jan,19.405405189823366
Northwestern Great Plains,erc,1983,Jan,24.207278138332963
Ouachita Mountains,erc,1983,Jan,18.680560288931193
Ozark Highlands,erc,1983,Jan,21.84319342548169
Piedmont,erc,1983,Jan,20.610157002033393
Ridge and Valley,erc,1983,Jan,19.805669986710463
Sierra Nevada,erc,1983,Jan,23.89500981476306
Snake River Plain,erc,1983,Jan,13.289898645167597
Sonoran Desert,erc,1983,Jan,54.22374939997967
South Central Plains,erc,1983,Jan,16.840959448443748
Southeastern Plains,erc,1983,Jan,16.477036034882182
Southeastern Wisconsin Till Plains,erc,1983,Jan,20.672075199747752
Southern and Baja California Pine-Oak Mountains,erc,1983,Jan,39.78189148686149
Southern Coastal Plain,erc,1983,Jan,20.229974077171626
Southern Florida Coastal Plain,erc,1983,Jan,19.9187787925305
Southern Michigan/Northern Indiana Drift Plains,erc,1983,Jan,17.069890866209583
Southern Rockies,erc,1983,Jan,26.368093982391972
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,erc,1983,Jan,29.949844868887936
