NA_L3NAME,variable,year,month,value
Acadian Plains and Hills,fwi,1983,Jan,0.6971600731801125
Arizona/New Mexico Mountains,fwi,1983,Jan,4.521567390213553
Arizona/New Mexico Plateau,fwi,1983,Jan,3.1884315234245064
Arkansas Valley,fwi,1983,Jan,2.8819469480918976
Aspen Parkland/Northern Glaciated Plains,fwi,1983,Jan,0.6772108969090731
Atlantic Coastal Pine Barrens,fwi,1983,Jan,0.7127145138553909
Blue Mountains,fwi,1983,Jan,0.689787795397708
Blue Ridge,fwi,1983,Jan,0.9280754331101437
Boston Mountains,fwi,1983,Jan,3.210274320597702
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,Jan,4.243992875390294
Canadian Rockies,fwi,1983,Jan,0.4428697076043694
Cascades,fwi,1983,Jan,0.6101498109415712
Central Appalachians,fwi,1983,Jan,1.1031589280983631
Central Basin and Range,fwi,1983,Jan,2.236759042971886
Central California Valley,fwi,1983,Jan,1.29122607002962
Central Corn Belt Plains,fwi,1983,Jan,1.1162905586535912
Central Great Plains,fwi,1983,Jan,2.382868469845433
Central Irregular Plains,fwi,1983,Jan,2.1272171339561305
Chihuahuan Deserts,fwi,1983,Jan,6.030050487943346
Coast Range,fwi,1983,Jan,0.43582412230194423
Colorado Plateaus,fwi,1983,Jan,2.3097973140115067
Columbia Mountains/Northern Rockies,fwi,1983,Jan,0.29339938595057036
Columbia Plateau,fwi,1983,Jan,0.5591623937566107
Cross Timbers,fwi,1983,Jan,3.556362900817179
Driftless Area,fwi,1983,Jan,0.45909174654816015
East Central Texas Plains,fwi,1983,Jan,4.088110152343549
Eastern Cascades Slopes and Foothills,fwi,1983,Jan,0.9082526584620145
Eastern Corn Belt Plains,fwi,1983,Jan,1.1719931151796683
Eastern Great Lakes Lowlands,fwi,1983,Jan,0.5577109105373157
Edwards Plateau,fwi,1983,Jan,5.066766605804391
Erie Drift Plain,fwi,1983,Jan,0.8989350630004475
Flint Hills,fwi,1983,Jan,2.1868371336989134
High Plains,fwi,1983,Jan,4.16675351685374
Huron/Erie Lake Plains,fwi,1983,Jan,0.7240819892480006
Idaho Batholith,fwi,1983,Jan,0.4505948816214616
Interior Plateau,fwi,1983,Jan,1.2908486548487395
Interior River Valleys and Hills,fwi,1983,Jan,1.7461110955716501
Klamath Mountains,fwi,1983,Jan,1.2129273598551908
Lake Manitoba and Lake Agassiz Plain,fwi,1983,Jan,0.4605415210779876
Madrean Archipelago,fwi,1983,Jan,7.303535395745732
Middle Atlantic Coastal Plain,fwi,1983,Jan,1.1176996389805354
Middle Rockies,fwi,1983,Jan,1.650362944117947
Mississippi Alluvial Plain,fwi,1983,Jan,1.4399848989229285
Mississippi Valley Loess Plains,fwi,1983,Jan,1.1881471791887086
Mojave Basin and Range,fwi,1983,Jan,7.0283028625260116
Nebraska Sand Hills,fwi,1983,Jan,2.541855189612445
North Cascades,fwi,1983,Jan,0.14801516401830053
North Central Appalachians,fwi,1983,Jan,0.7095468852866963
North Central Hardwood Forests,fwi,1983,Jan,0.3233116700186368
Northeastern Coastal Zone,fwi,1983,Jan,0.6308767975471777
Northern Allegheny Plateau,fwi,1983,Jan,0.8290425216243109
Northern Appalachian and Atlantic Maritime Highlands,fwi,1983,Jan,0.5523253233223946
Northern Basin and Range,fwi,1983,Jan,1.2563052029395818
Northern Lakes and Forests,fwi,1983,Jan,0.2971337787708496
Northern Minnesota Wetlands,fwi,1983,Jan,0.3510532965138555
Northern Piedmont,fwi,1983,Jan,0.9586064458924269
Northwestern Glaciated Plains,fwi,1983,Jan,1.9629124477257414
Northwestern Great Plains,fwi,1983,Jan,3.1233600264937036
Ouachita Mountains,fwi,1983,Jan,2.8771582065444243
Ozark Highlands,fwi,1983,Jan,3.0098272847968177
Piedmont,fwi,1983,Jan,1.649824199441478
Ridge and Valley,fwi,1983,Jan,0.9325866585816849
Sierra Nevada,fwi,1983,Jan,3.484057623920301
Snake River Plain,fwi,1983,Jan,0.8271273065023298
Sonoran Desert,fwi,1983,Jan,11.270956205332217
South Central Plains,fwi,1983,Jan,2.8839421301199017
Southeastern Plains,fwi,1983,Jan,1.3710370167427863
Southeastern Wisconsin Till Plains,fwi,1983,Jan,0.5395811334728243
Southern and Baja California Pine-Oak Mountains,fwi,1983,Jan,6.476863920417699
Southern Coastal Plain,fwi,1983,Jan,2.969184265754324
Southern Florida Coastal Plain,fwi,1983,Jan,3.9114163230065584
Southern Michigan/Northern Indiana Drift Plains,fwi,1983,Jan,0.630887918917762
Southern Rockies,fwi,1983,Jan,3.167050958319959
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,fwi,1983,Jan,6.8554597656325535
Southwestern Appalachians,fwi,1983,Jan,0.5909155725185326
Southwestern Tablelands,fwi,1983,Jan,4.420508906611857
Strait of Georgia/Puget Lowland,fwi,1983,Jan,0.16024916942044784
Texas Blackland Prairies,fwi,1983,Jan,4.017121137499608
Wasatch and Uinta Mountains,fwi,1983,Jan,1.7970860500933459
Western Allegheny Plateau,fwi,1983,Jan,1.161905526471478
Western Corn Belt Plains,fwi,1983,Jan,0.6519289620780339
Western Gulf Coastal Plain,fwi,1983,Jan,4.037693224642458
Willamette Valley,fwi,1983,Jan,0.14163967280532114
Wyoming Basin,fwi,1983,Jan,3.292888380995181
Acadian Plains and Hills,fwi,1983,Feb,0.19335089232680833
Arizona/New Mexico Mountains,fwi,1983,Feb,4.375303667972686
Arizona/New Mexico Plateau,fwi,1983,Feb,4.507331954552586
Arkansas Valley,fwi,1983,Feb,1.753429172261771
Aspen Parkland/Northern Glaciated Plains,fwi,1983,Feb,0.9355496813056232
Atlantic Coastal Pine Barrens,fwi,1983,Feb,0.589112347785811
Blue Mountains,fwi,1983,Feb,0.4406517310011446
Blue Ridge,fwi,1983,Feb,0.9057572140463409
Boston Mountains,fwi,1983,Feb,2.092843882969784
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,Feb,1.3684331010800945
Canadian Rockies,fwi,1983,Feb,0.3029203481896249
Cascades,fwi,1983,Feb,0.11608145137640104
Central Appalachians,fwi,1983,Feb,0.9088480504322595
Central Basin and Range,fwi,1983,Feb,2.0283549737902296
Central California Valley,fwi,1983,Feb,0.8946240616965049
